Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
28,Q196,P.S. 196 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$100,000.00 ",$0.00 ,DSF0001113082
28,Q196,P.S. 196 - QUEENS,DOE - RESOA,FY23 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$254,372.00 ",$0.00 ,DSF0001035966
28,Q196,P.S. 196 - QUEENS,SCA IEH,"PO18-OIL TANK ROOM ABATE 70 L.F. PIPE INSULATION, 25 L.F. JOINT INSULATION",Construction,In-Progress,6/29/2023,IEH,,IEH,$813.00 ,$238.00 ,SCA0000072088
27,Q197,P.S. 197 - QUEENS,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,4/26/2024,DOER,,DOER,"$241,770.00 ",$0.00 ,DSF0001033291
27,Q197,P.S. 197 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE / FY21 RESO A PLAYGROUND UPGRADE / RETAINING WALL,"CM,F&E",In-Progress,6/20/2022,3/16/2023,,44833,"$80,490.00 ","$79,532.00 ","DSF0001007755, DSF0001008179, DSF0001074727"
27,Q197,P.S. 197 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE / FY21 RESO A PLAYGROUND UPGRADE / RETAINING WALL,Construction,In-Progress,6/20/2022,3/16/2023,,657552,"$497,381.00 ","$439,315.00 ","DSF0001007755, DSF0001008179, DSF0001074727"
27,Q197,P.S. 197 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE / FY21 RESO A PLAYGROUND UPGRADE / RETAINING WALL,Design,Complete,2/7/2022,6/7/2022,4/14/2022,44833,"$55,051.00 ","$43,890.00 ","DSF0001007755, DSF0001008179, DSF0001074727"
27,Q197,P.S. 197 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE / FY21 RESO A PLAYGROUND UPGRADE / RETAINING WALL,Scope,Complete,7/22/2021,8/22/2023,2/4/2022,0,"$69,208.00 ","$56,318.00 ","DSF0001007755, DSF0001008179, DSF0001074727"
27,Q197,P.S. 197 - QUEENS,SCA IEH,PO18-ABATE & REMOVE PIPE INSULATION AT PIPE CHASE IN 210 PIPES HAVE BEEN MARKED GREEN,Construction,Complete,5/23/2025,IEH,6/1/2025,IEH,"$16,840.00 ","$1,696.00 ",SCA0000074295
27,Q197,P.S. 197 - QUEENS,SCA IEH,"PO18-ACM TEST REPORT CAME BACK NEGATIVE OF PLASTER CEILING, BUT STEAMFITTERS NOTICED LOOSE ACM ON PL",Construction,Complete,1/10/2025,IEH,1/12/2025,IEH,"$19,462.00 ","$19,462.00 ",SCA0000073790
27,Q198,P.S. 333 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/7/2025,DIIR,6/6/2025,DIIR,"$429,000.00 ","$429,000.00 ",DSF0001113083
27,Q198,P.S. 333 - QUEENS,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$175,000.00 ",$0.00 ,DSF0001035344
27,Q198,P.S. 333 - QUEENS,DOE - RESOA,FY21 RESO A MEDIA CENTER,Construction,In-Progress,5/25/2022,DOER,,DOER,"$80,109.00 ",$0.00 ,DSF0001008186
27,Q198,P.S. 333 - QUEENS,Fast Track Projects,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,Construction,In-Progress,10/31/2012,FTK,,FTK,"$3,214,874.00 ","$3,192,874.00 ",SCA0000023483
27,Q198,P.S. 333 - QUEENS,Fast Track Projects,SANDY NEW A/C CHILLERS,Construction,In-Progress,7/1/2013,FTK,,FTK,"$1,608,557.00 ","$1,608,557.00 ",DSF0000775970
27,Q198,P.S. 333 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,7/10/2023,5/4/2024,,168996,"$165,049.00 ","$116,494.00 ",DSF0001034651
27,Q198,P.S. 333 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,7/22/2021,4/12/2023,,617231,"$1,550,331.00 ","$1,483,320.00 ","DSF0000903523, DSF0000903525, DSF0000949147"
27,Q198,P.S. 333 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,7/10/2023,5/4/2024,,236640,"$210,378.00 ","$198,042.00 ",DSF0001034651
27,Q198,P.S. 333 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,7/22/2021,4/12/2023,,9380598,"$12,604,474.00 ","$3,092,533.00 ","DSF0000903523, DSF0000903525, DSF0000949147"
27,Q198,P.S. 333 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Design,Complete,1/13/2020,6/12/2020,4/23/2021,425946,"$504,668.00 ","$408,500.00 ","DSF0000903523, DSF0000903525, DSF0000949147"
27,Q198,P.S. 333 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,1/4/2023,6/30/2023,3/15/2023,18360,"$7,020.00 ","$7,020.00 ",DSF0001034651
27,Q198,P.S. 333 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,12/1/2022,4/4/2023,1/4/2023,4080,"$1,706.00 ","$1,706.00 ",DSF0001034651
27,Q198,P.S. 333 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Scope,Complete,7/3/2019,11/19/2019,1/13/2020,85659,"$127,257.00 ","$127,257.00 ","DSF0000903523, DSF0000903525, DSF0000949147"
24,Q199,P.S. 199 - QUEENS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$75,000.00 ",$0.00 ,DSF0001036088
24,Q199,P.S. 199 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001113084
24,Q199,P.S. 199 - QUEENS,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$263,248.00 ",$0.00 ,DSF0001035968
24,Q199,P.S. 199 - QUEENS,DOE - RESOA,RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,4/9/2024,DOER,,DOER,"$303,202.00 ",$0.00 ,DSF0001111875
25,Q200,P.S. 200 - QUEENS,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$528,721.00 ",$0.00 ,DSF0001113085
25,Q200,P.S. 200 - QUEENS,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$270,875.00 ",$0.00 ,DSF0001035969
25,Q200,P.S. 200 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",Complete,12/11/2023,10/5/2024,12/20/2024,131555,"$131,636.00 ","$85,415.00 ",DSF0001034576
25,Q200,P.S. 200 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,9/16/2024,1/13/2027,,638536,"$134,086.00 ","$114,945.00 ","DSF0001074775, DSF0001102546, DSF0001102547"
25,Q200,P.S. 200 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,9/16/2024,1/13/2027,,8464905,"$7,732,194.00 ","$831,841.00 ","DSF0001074775, DSF0001102546, DSF0001102547"
25,Q200,P.S. 200 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,Complete,12/11/2023,10/5/2024,12/20/2024,241860,"$220,685.00 ","$199,718.00 ",DSF0001034576
25,Q200,P.S. 200 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,1/3/2024,6/4/2024,4/22/2024,406321,"$404,440.00 ","$404,440.00 ","DSF0001074775, DSF0001102546, DSF0001102547"
25,Q200,P.S. 200 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2/3/2023,8/1/2023,5/2/2023,18765,"$13,595.00 ","$13,595.00 ",DSF0001034576
25,Q200,P.S. 200 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/23/2023,5/22/2023,2/3/2023,4170,"$3,399.00 ","$3,399.00 ",DSF0001034576
25,Q200,P.S. 200 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,9/1/2023,1/23/2024,12/29/2023,82831,"$151,643.00 ","$146,559.00 ","DSF0001074775, DSF0001102546, DSF0001102547"
25,Q200,P.S. 200 - QUEENS,SCA IEH,PO18-77/25Q200/ABATE APPROX 10 FT OF ACM INSULATION SPRAYED RED. ACTIVE LEAK UNABLE TO ISOLATE 2 RIS,Construction,Complete,12/11/2024,IEH,1/18/2025,IEH,"$14,379.00 ","$8,190.00 ",SCA0000073694
25,Q200,P.S. 200 - QUEENS,SCA IEH,PO18-ABATE FUEL OIL PIPE INSULATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,6/23/2025,IEH,"$1,250.00 ",$0.00 ,SCA0000073989
25,Q201,P.S. 201 - QUEENS,DOE - RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001113086
25,Q201,P.S. 201 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,5/19/2025,3/14/2026,,47788,"$30,642.00 ","$8,779.00 ",DSF0001087533
25,Q201,P.S. 201 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM,F&E",In-Progress,7/22/2019,5/16/2020,,87535,"$330,849.00 ","$330,400.00 ","DSF0000890984, DSF0000912323"
25,Q201,P.S. 201 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,In-Progress,7/22/2019,5/16/2020,,1281825,"$1,193,206.00 ","$1,126,698.00 ","DSF0000890984, DSF0000912323"
25,Q201,P.S. 201 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,5/19/2025,3/14/2026,,234829,"$216,498.00 ","$2,685.00 ",DSF0001087533
25,Q201,P.S. 201 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,4/23/2024,10/18/2024,9/25/2024,18220,"$3,866.00 ","$3,866.00 ",DSF0001087533
25,Q201,P.S. 201 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,2/21/2019,7/23/2019,5/16/2019,70249,"$37,574.00 ","$37,574.00 ","DSF0000890984, DSF0000912323"
25,Q201,P.S. 201 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,8/27/2018,6/19/2019,2/21/2019,17660,"$9,410.00 ","$9,410.00 ","DSF0000890984, DSF0000912323"
25,Q201,P.S. 201 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,4/9/2024,8/8/2024,4/23/2024,4049,$967.00 ,$967.00 ,DSF0001087533
27,Q202,I.S. 202 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001113087
27,Q202,HS OF COMMN. ARTS & TECH - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/27/2025,DIIR,4/28/2025,DIIR,"$50,000.00 ","$50,000.00 ",DSF0001113088
27,Q202,I.S. 202 - QUEENS,DOE - RESOA,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,7/10/2023,DOER,,DOER,"$347,087.00 ",$0.00 ,DSF0001008193
27,Q202,I.S. 202 - QUEENS,DOE - RESOA,FY23 RESO A PHONE UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$249,975.00 ",$0.00 ,DSF0001035971
27,Q202,I.S. 202 - QUEENS,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2/5/2024,DOES,,DOES,"$592,862.00 ",$0.00 ,DSF0001085756
27,Q202,I.S. 202 - QUEENS,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",In-Progress,7/22/2024,5/16/2025,,158982,"$103,907.00 ","$45,679.00 ",DSF0001083890
27,Q202,I.S. 202 - QUEENS,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / EXTERIOR MASONRY / SIDEWALK REPAIR / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,1577908,"$1,577,908.00 ","$70,085.00 ","DSF0000949223, DSF0000949226, DSF0000949225, DSF0000949227, DSF0001024041, DSF0001035196"
27,Q202,I.S. 202 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,6/22/2022,6/20/2024,,574875,"$554,076.00 ","$523,831.00 ","DSF0000948952, DSF0000798328"
27,Q202,I.S. 202 - QUEENS,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / EXTERIOR MASONRY / SIDEWALK REPAIR / WINDOWS,Construction,PNS,PNS,PNS,PNS,22842132,"$22,842,132.00 ","$100,192.00 ","DSF0000949223, DSF0000949226, DSF0000949225, DSF0000949227, DSF0001024041, DSF0001035196"
27,Q202,I.S. 202 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,6/22/2022,6/20/2024,,9239062,"$8,545,517.00 ","$7,046,674.00 ","DSF0000948952, DSF0000798328"
27,Q202,I.S. 202 - QUEENS,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,In-Progress,7/22/2024,5/16/2025,,857762,"$771,014.00 ","$9,218.00 ",DSF0001083890
27,Q202,I.S. 202 - QUEENS,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/2/2023,3/1/2024,2/7/2024,66551,"$69,738.00 ","$53,489.00 ",DSF0001083890
27,Q202,I.S. 202 - QUEENS,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / EXTERIOR MASONRY / SIDEWALK REPAIR / WINDOWS,Design,Complete,7/28/2022,1/26/2023,1/12/2023,1057363,"$378,499.00 ","$377,937.00 ","DSF0000949223, DSF0000949226, DSF0000949225, DSF0000949227, DSF0001024041, DSF0001035196"
27,Q202,I.S. 202 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,12/31/2020,7/30/2021,7/6/2021,410625,"$319,655.00 ","$294,737.00 ","DSF0000948952, DSF0000798328"
27,Q202,I.S. 202 - QUEENS,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/23/2023,10/23/2023,9/25/2023,14789,"$15,957.00 ","$15,957.00 ",DSF0001083890
27,Q202,I.S. 202 - QUEENS,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / EXTERIOR MASONRY / SIDEWALK REPAIR / WINDOWS,Scope,Complete,3/15/2022,9/13/2022,7/22/2022,213666,"$205,639.00 ","$202,849.00 ","DSF0000949223, DSF0000949226, DSF0000949225, DSF0000949227, DSF0001024041, DSF0001035196"
27,Q202,I.S. 202 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,8/13/2020,1/19/2021,12/28/2020,82125,"$77,215.00 ","$77,215.00 ","DSF0000948952, DSF0000798328"
27,Q202,HS OF COMMN. ARTS & TECH - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,118342,"$118,342.00 ","$48,086.00 ",DSF0001035972
27,Q202,HS OF COMMN. ARTS & TECH - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,1735688,"$1,735,688.00 ","$65,449.00 ",DSF0001035972
27,Q202,HS OF COMMN. ARTS & TECH - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,Design,Complete,7/31/2024,12/17/2024,4/11/2025,118342,"$64,856.00 ","$61,147.00 ",DSF0001035972
27,Q202,HS OF COMMN. ARTS & TECH - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,Scope,Complete,1/30/2023,5/31/2023,5/10/2023,0,"$14,074.00 ","$14,074.00 ",DSF0001035972
26,Q203,P.S. 203 - QUEENS,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$400,000.00 ",$0.00 ,DSF0001113089
26,Q203,P.S. 203 - QUEENS,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/3/2020,DOER,,DOER,"$263,679.00 ",$0.00 ,DSF0000913426
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,46751,"$46,751.00 ","$8,891.00 ",DSF0001087534
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,"CM,F&E",In-Progress,7/23/2018,10/15/2019,,271600,"$751,890.00 ","$703,496.00 ",DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,10/10/2022,10/8/2024,,461282,"$561,853.00 ","$541,948.00 ","DSF0000912539, DSF0000897780"
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,Construction,In-Progress,7/23/2018,10/15/2019,,4365000,"$5,100,468.00 ","$3,508,382.00 ",DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,229235,"$229,235.00 ","$11,522.00 ",DSF0001087534
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,10/10/2022,10/8/2024,,7396875,"$6,713,039.00 ","$4,787,794.00 ","DSF0000912539, DSF0000897780"
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,Design,Complete,3/14/2018,8/13/2018,5/14/2018,232800,"$327,030.00 ","$285,324.00 ",DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,9/10/2019,2/13/2020,12/20/2019,328750,"$350,885.00 ","$332,858.00 ","DSF0000912539, DSF0000897780"
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,9/24/2024,3/25/2025,3/26/2025,17785,"$10,985.00 ","$10,985.00 ",DSF0001087534
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,9/20/2024,1/24/2025,9/24/2024,3952,"$2,746.00 ","$2,746.00 ",DSF0001087534
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,Scope,Complete,12/22/2017,5/10/2018,3/2/2018,58200,"$79,185.00 ","$79,185.00 ",DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/27/2019,11/29/2019,8/23/2019,65750,"$70,996.00 ","$70,996.00 ","DSF0000912539, DSF0000897780"
30,Q204,I.S. 204 - QUEENS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$125,000.00 ",$0.00 ,DSF0001035976
30,Q204,THE RIVERVIEW SCHOOL - QUEENS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001086471
30,Q204,I.S. 204 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001113091
30,Q204,I.S. 204 - QUEENS,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$550,000.00 ",$0.00 ,DSF0001113090
30,Q204,I.S. 204 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/9/2024,DOES,2/11/2025,DOES,"$65,832.00 ","$20,964.00 ",DSF0001084820
30,Q204,I.S. 204 - QUEENS,Fast Track Projects,FY22 RESO A GYMNASIUM UPGRADE,Construction,Complete,7/10/2023,FTK,11/26/2024,FTK,"$92,849.00 ","$92,099.00 ",DSF0001033857
26,Q205,Q224 SPED - QUEENS,DOE - RESOA,FY22 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$105,991.00 ",$0.00 ,DSF0001033872
26,Q205,P.S. 205 - QUEENS,DOE - RESOA,FY22 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$100,000.00 ",$0.00 ,DSF0001033858
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,10/2/2023,7/27/2024,,158816,"$156,465.00 ","$93,706.00 ",DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,10/2/2023,7/27/2024,,214600,"$197,168.00 ","$175,465.00 ",DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/3/2023,8/28/2023,5/3/2023,16650,"$29,312.00 ","$29,312.00 ",DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/1/2023,6/29/2023,3/3/2023,3700,"$7,328.00 ","$7,328.00 ",DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,Complete,2/21/2025,,4/30/2025,372000,"$372,000.00 ","$310,573.00 ",DSF0001035339
26,Q205,P.S. 205 - QUEENS,SCA IEH,PO18-ABATEMENT OF TAR RADIATOR COVERS AND WHITE AIRCELL PIPE INSULATION IN ROOM 218,Construction,In-Progress,2/12/2024,IEH,,IEH,$668.00 ,$93.00 ,SCA0000072726
28,Q206,P.S. 206 - QUEENS,DOE - RESOA,FY21 RESO A BATHROOM UPGRADE,Construction,In-Progress,7/11/2022,DOER,,DOER,"$176,332.00 ",$0.00 ,DSF0001008149
28,Q206,P.S. 206 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,4/2/2024,DOES,,DOES,"$65,832.00 ",$0.00 ,DSF0001084377
28,Q206,P.S. 206 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,552337,"$552,337.00 ","$93,257.00 ","DSF0001024094, DSF0001024095, DSF0001024096"
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - EXISTING SCHOOL RENOVATION WORK,"CM,F&E",PNS,PNS,PNS,PNS,248134,"$248,134.00 ","$30,576.00 ",DSF0000888762
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - DEMOLITION OF TCU UNIT AND PLAYGROUND DEVELOPMENT,"CM,F&E",PNS,PNS,PNS,PNS,126727,"$126,727.00 ","$30,807.00 ",DSF0000888762
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - EXISTING SCHOOL RENOVATION WORK,Construction,PNS,PNS,PNS,PNS,3987872,"$3,987,872.00 ","$25,631.00 ",DSF0000888762
28,Q206,P.S. 206 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,8876845,"$8,876,845.00 ","$83,266.00 ","DSF0001024094, DSF0001024095, DSF0001024096"
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - DEMOLITION OF TCU UNIT AND PLAYGROUND DEVELOPMENT,Construction,PNS,PNS,PNS,PNS,2036681,"$2,036,681.00 ","$88,040.00 ",DSF0000888762
28,Q206,P.S. 206 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,8/25/2023,1/31/2024,4/25/2024,394527,"$302,546.00 ","$294,463.00 ","DSF0001024094, DSF0001024095, DSF0001024096"
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - EXISTING SCHOOL RENOVATION WORK,Design,Complete,8/10/2021,1/4/2022,7/24/2023,177239,"$256,533.00 ","$249,377.00 ",DSF0000888762
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - DEMOLITION OF TCU UNIT AND PLAYGROUND DEVELOPMENT,Design,Complete,5/16/2023,10/2/2023,4/25/2024,108623,"$139,793.00 ","$69,424.00 ",DSF0000888762
28,Q206,P.S. 206 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,7/13/2022,11/29/2022,7/25/2023,78905,"$179,151.00 ","$177,682.00 ","DSF0001024094, DSF0001024095, DSF0001024096"
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - DEMOLITION OF TCU UNIT AND PLAYGROUND DEVELOPMENT,Scope,Complete,12/6/2022,3/9/2023,5/15/2023,27156,"$46,738.00 ","$46,738.00 ",DSF0000888762
28,Q206,P.S. 206 - QUEENS,SCA CIP,SSBA - EXISTING SCHOOL RENOVATION WORK,Scope,Complete,2/19/2020,7/17/2020,7/27/2021,35448,"$48,842.00 ","$48,842.00 ",DSF0000888762
27,Q207,P.S. 207 - QUEENS,DOE - RESOA,FY22 RESO A DIGITAL SIGN,Construction,In-Progress,8/23/2024,DOER,,DOER,"$31,911.00 ",$0.00 ,DSF0001034935
27,Q207,P.S. 207 - QUEENS,DOE - RESOA,FY25 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$600,000.00 ",$0.00 ,DSF0001113092
27,Q207,P.S. 207 - QUEENS,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,In-Progress,10/31/2023,DOER,,DOER,"$27,277.00 ",$0.00 ,DSF0001086474
27,Q207,P.S. 207 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,"CM,F&E",In-Progress,11/20/2024,8/11/2026,,273502,"$49,938.00 ","$49,938.00 ","DSF0001074898, DSF0001111817"
27,Q207,P.S. 207 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Construction,In-Progress,11/20/2024,8/11/2026,,4143838,"$3,806,550.00 ","$68,026.00 ","DSF0001074898, DSF0001111817"
27,Q207,P.S. 207 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,Complete,11/15/2023,4/18/2024,5/14/2024,188387,"$257,985.00 ","$198,993.00 ","DSF0001074898, DSF0001111817"
